id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13217100502,55722
13217100600,43031
13217100700,39555
13217100800,55948
13217100901,58675
13217100902,52837
13217100903,46080
13219030100,89539
13219030200,81803
13219030300,100268
13219030400,92090
13219030500,86250
13219030600,94740
13221960100,43500
13221960201,47722
13221960202,41740
13221960300,66250
13223120101,101836
13223120102,76960
13223120103,87904
13223120104,81048
13223120202,53491
13223120203,78553
13223120204,74471
13223120301,48170
13223120302,44804
13223120303,59952
13223120400,56865
13223120501,65884
13223120502,64742
13223120503,67969
13223120601,64943
13223120602,89539
13223120603,67690
13223120604,81944
13223120605,74086
13225040101,77162
13225040102,54257
13225040200,34044
13225040301,51584
13225040302,19754
13225040400,29497
13227050100,94013
13227050200,57325
13227050300,58438
13227050400,64662
13227050500,59545
13227050600,64706
13229960100,50045
13229960200,52969
13229960300,37813
13229960400,39945
13231010100,63788
13231010200,71250
13231010300,63973
13231010400,63226
13233010100,43882
13233010200,53193
13233010300,37149
13233010400,39986
13233010500,44541
13233010600,50667
13233010700,49911
13235950100,47500
13235950200,46890
13235950300,37885
13237960101,51950
13237960102,68750
13237960201,38542
13237960202,38148
13237960300,62483
13239960300,26667
13241970100,43775
13241970201,41597
13241970202,37050
13241970301,48173
13241970302,41071
13243790100,35234
13243790200,31467
13245000100,48650
